City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
136,lompoc,34.6391,-120.4579,68.77,100,100,0.0,US
137,vershino-darasunskiy,52.35,115.5167,58.14,95,98,5.21,RU
138,talnakh,69.4865,88.3972,76.21,42,15,1.66,RU
139,rindge,42.7512,-72.0098,70.68,88,0,4.61,US
140,kokuy,52.2037,117.5529,73.42,53,83,2.53,RU
141,caleta de carquin,-11.0925,-77.6267,66.09,84,74,7.92,PE
142,keflavik,64.0049,-22.5624,60.71,72,75,10.36,IS
143,egilsstadir,65.2653,-14.3948,48.11,76,75,10.36,IS
144,rodolfo sanchez taboada,31.7167,-116.5667,67.1,84,58,1.01,MX
145,thompson,55.7435,-97.8558,50.16,87,100,6.91,CA
146,dock junction,31.2025,-81.5168,82.4,93,0,0.0,US
147,kapa'a,22.0752,-159.319,79.12,90,100,16.11,US
148,koubia,11.5833,-11.9,80.73,73,28,2.73,GN
149,iskateley,67.6803,53.1512,73.29,55,86,3.04,RU
150,pisco,-13.7,-76.2167,64.45,77,100,6.91,PE
151,kidal,18.4411,1.4078,103.57,21,56,8.3,ML
152,albany,42.6001,-73.9662,68.54,94,2,1.01,US
153,kalabo,-14.97,22.6814,87.08,17,97,5.23,ZM
154,vilyuchinsk,52.9306,158.4028,59.27,86,54,1.32,RU
155,yelizovo,53.1873,158.3805,59.14,93,0,2.24,RU
156,sungai penuh,-2.0833,101.3833,67.57,97,65,1.92,ID
157,malakwal city,32.5549,73.2122,94.62,51,56,3.06,PK
158,natal,-5.795,-35.2094,81.25,74,40,14.97,BR
159,badger,64.8,-147.5333,66.7,87,20,6.91,US
160,port macquarie,-31.4333,152.9167,50.9,82,1,4.09,AU
161,funadhoo,6.15,73.2667,83.35,71,100,5.23,MV
162,port elizabeth,-33.918,25.5701,66.49,55,0,10.36,ZA
163,ta`u,-14.2336,-169.5144,77.94,72,91,11.88,AS
164,maintirano,-18.0667,44.0167,79.23,53,13,16.51,MG
165,anadyr,64.75,177.4833,50.5,87,100,8.95,RU
166,claveria,18.6074,121.0832,80.46,94,100,40.94,PH
